Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2017,01/05,13.142.022.954.697.300,Toledo,30.0,0.45,0.9,12,6
2017,02/05,12.735.056.243.300.000,Toledo,30.0,0.45,0.9,12,6
2017,03/05,1.182.224.976.090.700,Toledo,30.0,0.45,0.9,12,6
2018,01/05,1.342.203.450.806.020,Toledo,30.0,0.45,0.9,12,6
2018,02/05,12.679.033.562.147.100,Toledo,30.0,0.45,0.9,12,6
2018,03/05,11.761.043.910.274.400,Toledo,30.0,0.45,0.9,12,6
2019,01/05,13.436.508.718.410.300,Toledo,30.0,0.45,0.9,12,6
2019,02/05,13.111.135.964.281.400,Toledo,30.0,0.45,0.9,12,6
2019,03/05,12.545.770.993.653.400,Toledo,30.0,0.45,0.9,12,6
2020,01/05,13.445.964.282.861.300,Toledo,30.0,0.45,0.9,12,6
2020,02/05,12.639.578.343.053.800,Toledo,30.0,0.45,0.9,12,6
2020,03/05,11.868.931.061.244.900,Toledo,30.0,0.45,0.9,12,6
2021,01/05,13.496.447.529.204.000,Toledo,30.0,0.45,0.9,12,6
2021,02/05,13.257.807.650.827.700,Toledo,30.0,0.45,0.9,12,6
2021,03/05,12.161.415.780.773.100,Toledo,30.0,0.45,0.9,12,6
2022,01/05,13.272.812.724.095.100,Toledo,30.0,0.45,0.9,12,6
2022,02/05,11.796.999.500.965.900,Toledo,30.0,0.45,0.9,12,6
2022,03/05,8.282.287.616.930.710,Toledo,30.0,0.45,0.9,12,6
2023,01/05,13.428.826.634.418.500,Toledo,30.0,0.45,0.9,12,6
2023,02/05,13.161.102.567.093.200,Toledo,30.0,0.45,0.9,12,6
2023,03/05,1.222.288.885.717.170,Toledo,30.0,0.45,0.9,12,6
2024,01/05,13.639.270.127.359.300,Toledo,30.0,0.45,0.9,12,6
2024,02/05,12.996.886.672.056.000,Toledo,30.0,0.45,0.9,12,6
2024,03/05,12.602.443.260.469.400,Toledo,30.0,0.45,0.9,12,6
2015,01/05,13.251.804.094.219.200,Cascavel,30.0,0.45,0.9,12,7
2015,02/05,12.927.199.231.307.700,Cascavel,30.0,0.45,0.9,12,7
2015,03/05,11.852.171.679.380.400,Cascavel,30.0,0.45,0.9,12,7
2016,01/05,12.647.441.042.350.000,Cascavel,30.0,0.45,0.9,12,7
2016,02/05,1.094.400.758.975.970,Cascavel,30.0,0.45,0.9,12,7
2016,03/05,8.934.751.884.466.650,Cascavel,30.0,0.45,0.9,12,7
2017,01/05,12.997.004.032.043.700,Cascavel,30.0,0.45,0.9,12,7
2017,02/05,1.243.175.170.465.150,Cascavel,30.0,0.45,0.9,12,7
2017,03/05,11.250.668.359.409.400,Cascavel,30.0,0.45,0.9,12,7
2018,01/05,13.397.900.373.240.800,Cascavel,30.0,0.45,0.9,12,7
2018,02/05,12.231.872.714.583.800,Cascavel,30.0,0.45,0.9,12,7
2018,03/05,10.950.885.914.076.700,Cascavel,30.0,0.45,0.9,12,7
2019,01/05,13.443.221.196.321.700,Cascavel,30.0,0.45,0.9,12,7
